4369397290542.040039,-973547626.301716,-80648653005.206818
4369397292834.938477,-973536952.039080,-80648653279.259186
4369397295127.835938,-973526277.776444,-80648653553.311554
4369397297420.733398,-973515603.513807,-80648653827.363907
4369397299713.630859,-973504929.251171,-80648654101.416245
4369397302006.528320,-973494254.988534,-80648654375.468582
4369397304299.425781,-973483580.725898,-80648654649.520920
4369397306592.323242,-973472906.463261,-80648654923.573257
4369397308885.220703,-973462232.200625,-80648655197.625595
4369397311178.118164,-973451557.937989,-80648655471.677933
4369397313471.015625,-973440883.675352,-80648655745.730270
4369397315763.913086,-973430209.412716,-80648656019.782608
4369397318056.810547,-973419535.150079,-80648656293.834946
4369397320349.708008,-973408860.887443,-80648656567.887283
4369397322642.605469,-973398186.624807,-80648656841.939621
4369397324935.502930,-973387512.362170,-80648657115.991959
4369397327228.400391,-973376838.099534,-80648657390.044296
4369397329521.297852,-973366163.836897,-80648657664.096634
4369397331814.195312,-973355489.574261,-80648657938.148972
4369397334107.092773,-973344815.311624,-80648658212.201309
4369397336399.990234,-973334141.048988,-80648658486.253647
4369397338692.887695,-973323466.786352,-80648658760.305984
4369397340985.785156,-973312792.523715,-80648659034.358322
4369397343278.682617,-973302118.261079,-80648659308.410660
4369397345571.580078,-973291443.998442,-80648659582.462997
4369397347864.477539,-973280769.735806,-80648659856.515335
4369397350157.375000,-973270095.473169,-80648660130.567673
4369397352450.272461,-973259421.210533,-80648660404.620010
4369397354743.169922,-973248746.947897,-80648660678.672348
4369397357036.067383,-973238072.685260,-80648660952.724686
4369397359328.964844,-973227398.422624,-80648661226.777023
4369397361621.862305,-973216724.159987,-80648661500.829361
4369397363914.759766,-973206049.897351,-80648661774.881699
4369397366207.657227,-973195375.634714,-80648662048.934036
4369397368500.554688,-973184701.372077,-80648662322.986374
4369397370793.452148,-973174027.109441,-80648662597.038712
4369397373086.349609,-973163352.846804,-80648662871.091049
4369397375379.246094,-973152678.584167,-80648663145.143387
4369397377672.142578,-973142004.321531,-80648663419.195724
4369397379965.039062,-973131330.058894,-80648663693.248062
4369397382257.935547,-973120655.796257,-80648663967.300400
4369397384550.832031,-973109981.533621,-80648664241.352737
4369397386843.728516,-973099307.270984,-80648664515.405075
4369397389136.625000,-973088633.008347,-80648664789.457413
4369397391429.521484,-973077958.745711,-80648665063.509750
4369397393722.417969,-973067284.483074,-80648665337.562088
4369397396015.314453,-973056610.220437,-80648665611.614426
4369397398308.210938,-973045935.957801,-80648665885.666763
4369397400601.107422,-973035261.695164,-80648666159.719101
4369397402894.003906,-973024587.432527,-80648666433.771439
4369397405186.900391,-973013913.169891,-80648666707.823776
4369397407479.796875,-973003238.907254,-80648666981.876114
4369397409772.693359,-972992564.644617,-80648667255.928452
4369397412065.589844,-972981890.381981,-80648667529.980789
4369397414358.486328,-972971216.119344,-80648667804.033127
4369397416651.382812,-972960541.856707,-80648668078.085464
4369397418944.279297,-972949867.594071,-80648668352.137802
4369397421237.175781,-972939193.331434,-80648668626.190140
4369397423530.072266,-972928519.068797,-80648668900.242477
4369397425822.968750,-972917844.806161,-80648669174.294815
4369397428115.865234,-972907170.543524,-80648669448.347153
4369397430408.761719,-972896496.280887,-80648669722.399490
4369397432701.658203,-972885822.018251,-80648669996.451828
4369397434994.554688,-972875147.755614,-80648670270.504135
4369397437287.451172,-972864473.492977,-80648670544.556442
4369397439580.347656,-972853799.230341,-80648670818.608749
4369397441873.244141,-972843124.967704,-80648671092.661057
4369397444166.140625,-972832450.705068,-80648671366.713364
4369397446459.037109,-972821776.442431,-80648671640.765671
4369397448751.933594,-972811102.179794,-80648671914.817978
4369397451044.830078,-972800427.917158,-80648672188.870285
4369397453337.726562,-972789753.654521,-80648672462.922592
4369397455630.622070,-972779079.391884,-80648672736.974899
4369397457923.517578,-972768405.129248,-80648673011.027206
4369397460216.413086,-972757730.866611,-80648673285.079514
4369397462509.308594,-972747056.603974,-80648673559.131821
4369397464802.204102,-972736382.341337,-80648673833.184128
4369397467095.099609,-972725708.078700,-80648674107.236435
4369397469387.995117,-972715033.816063,-80648674381.288742
4369397471680.890625,-972704359.553426,-80648674655.341049
4369397473973.786133,-972693685.290789,-80648674929.393356
4369397476266.681641,-972683011.028152,-80648675203.445663
4369397478559.577148,-972672336.765516,-80648675477.497971
4369397480852.472656,-972661662.502879,-80648675751.550278
4369397483145.368164,-972650988.240242,-80648676025.602585
4369397485438.263672,-972640313.977605,-80648676299.654892
4369397487731.159180,-972629639.714968,-80648676573.707199
4369397490024.054688,-972618965.452331,-80648676847.759506
4369397492316.950195,-972608291.189694,-80648677121.811813
4369397494609.845703,-972597616.927057,-80648677395.864120
4369397496902.741211,-972586942.664420,-80648677669.916428
4369397499195.636719,-972576268.401783,-80648677943.968735
4369397501488.532227,-972565594.139147,-80648678218.021042
4369397503781.427734,-972554919.876510,-80648678492.073349
4369397506074.323242,-972544245.613873,-80648678766.125656
4369397508367.218750,-972533571.351236,-80648679040.177963
4369397510660.114258,-972522897.088599,-80648679314.230270
4369397512953.009766,-972512222.825962,-80648679588.282578
4369397515245.905273,-972501548.563325,-80648679862.334885
4369397517538.800781,-972490874.300688,-80648680136.387192
4369397519831.696289,-972480200.038051,-80648680410.439499
4369397522124.591797,-972469525.775414,-80648680684.491806
4369397524417.487305,-972458851.512778,-80648680958.544113
4369397526710.382812,-972448177.250141,-80648681232.596420
4369397529003.278320,-972437502.987504,-80648681506.648727
4369397531296.173828,-972426828.724867,-80648681780.701035
4369397533589.069336,-972416154.462230,-80648682054.753342
