92574112945.507492,116222363219.491364,-3503818.831090
92574065642.201797,116222400443.904572,-3503818.833808
92574018338.880859,116222437668.298935,-3503818.836526
92573971035.544693,116222474892.674469,-3503818.839243
92573923732.193283,116222512117.031158,-3503818.841959
92573876428.826645,116222549341.369003,-3503818.844674
92573829125.444778,116222586565.688019,-3503818.847388
92573781822.047668,116222623789.988190,-3503818.850101
92573734518.635315,116222661014.269516,-3503818.852814
92573687215.207733,116222698238.532013,-3503818.855526
92573639911.764923,116222735462.775665,-3503818.858236
92573592608.306870,116222772687.000473,-3503818.860946
92573545304.833588,116222809911.206451,-3503818.863655
92573498001.345062,116222847135.393585,-3503818.866363
92573450697.841309,116222884359.561874,-3503818.869071
92573403394.322311,116222921583.711334,-3503818.871777
92573356090.788086,116222958807.841949,-3503818.874483
92573308787.238617,116222996031.953720,-3503818.877187
92573261483.673920,116223033256.046661,-3503818.879891
92573214180.093994,116223070480.120758,-3503818.882594
92573166876.498825,116223107704.176010,-3503818.885296
92573119572.888428,116223144928.212433,-3503818.887997
92573072269.262787,116223182152.230011,-3503818.890698
92573024965.621918,116223219376.228745,-3503818.893397
92572977661.965805,116223256600.208649,-3503818.896096
92572930358.294464,116223293824.169708,-3503818.898794
92572883054.607880,116223331048.111923,-3503818.901490
92572835750.906067,116223368272.035309,-3503818.904186
92572788447.189026,116223405495.939850,-3503818.906882
92572741143.456741,116223442719.825546,-3503818.909576
92572693839.709229,116223479943.692413,-3503818.912269
92572646535.946472,116223517167.540436,-3503818.914962
92572599232.168488,116223554391.369614,-3503818.917653
92572551928.375275,116223591615.179962,-3503818.920344
92572504624.566818,116223628838.971466,-3503818.923034
92572457320.743118,116223666062.744125,-3503818.925723
92572410016.904190,116223703286.497955,-3503818.928412
92572362713.050034,116223740510.232941,-3503818.931099
92572315409.180634,116223777733.949081,-3503818.933785
92572268105.296005,116223814957.646393,-3503818.936471
92572220801.396133,116223852181.324875,-3503818.939156
92572173497.481033,116223889404.984512,-3503818.941840
92572126193.550705,116223926628.625305,-3503818.944523
92572078889.605133,116223963852.247269,-3503818.947205
92572031585.644333,116224001075.850388,-3503818.949886
92571984281.668289,116224038299.434662,-3503818.952566
92571936977.677017,116224075523.000107,-3503818.955246
92571889673.670502,116224112746.546707,-3503818.957924
92571842369.648758,116224149970.074463,-3503818.960602
92571795065.611771,116224187193.583389,-3503818.963279
92571747761.559555,116224224417.073471,-3503818.965955
92571700457.492111,116224261640.544708,-3503818.968630
92571653153.409424,116224298863.997116,-3503818.971305
92571605849.311508,116224336087.430679,-3503818.973978
92571558545.198349,116224373310.845398,-3503818.976651
92571511241.069962,116224410534.241287,-3503818.979323
92571463936.926346,116224447757.618332,-3503818.981993
92571416632.767487,116224484980.976532,-3503818.984663
92571369328.593399,116224522204.315903,-3503818.987332
92571322024.404068,116224559427.636429,-3503818.990001
92571274720.199509,116224596650.938110,-3503818.992668
92571227415.979706,116224633874.220963,-3503818.995335
92571180111.744675,116224671097.484970,-3503818.998000
92571132807.494400,116224708320.730133,-3503819.000665
92571085503.228897,116224745543.956467,-3503819.003329
92571038198.948166,116224782767.163956,-3503819.005992
92570990894.652191,116224819990.352600,-3503819.008654
92570943590.340988,116224857213.522415,-3503819.011316
92570896286.014542,116224894436.673386,-3503819.013976
92570848981.672867,116224931659.805511,-3503819.016636
92570801677.315964,116224968882.918808,-3503819.019294
92570754372.943817,116225006106.013260,-3503819.021952
92570707068.556442,116225043329.088867,-3503819.024609
92570659764.153824,116225080552.145645,-3503819.027265
92570612459.735977,116225117775.183578,-3503819.029920
92570565155.302902,116225154998.202667,-3503819.032575
92570517850.854584,116225192221.202927,-3503819.035228
92570470546.391037,116225229444.184341,-3503819.037881
92570423241.912247,116225266667.146912,-3503819.040533
92570375937.418228,116225303890.090652,-3503819.043184
92570328632.908966,116225341113.015549,-3503819.045834
92570281328.384476,116225378335.921600,-3503819.048483
92570234023.844742,116225415558.808823,-3503819.051131
92570186719.289780,116225452781.677200,-3503819.053779
92570139414.719589,116225490004.526733,-3503819.056425
92570092110.134155,116225527227.357437,-3503819.059071
92570044805.533493,116225564450.169281,-3503819.061716
92569997500.917587,116225601672.962296,-3503819.064360
92569950196.286453,116225638895.736465,-3503819.067003
92569902891.640091,116225676118.491791,-3503819.069645
92569855586.978485,116225713341.228287,-3503819.072286
92569808282.301651,116225750563.945938,-3503819.074927
92569760977.609573,116225787786.644745,-3503819.077566
92569713672.902267,116225825009.324722,-3503819.080205
92569666368.179733,116225862231.985855,-3503819.082843
92569619063.441956,116225899454.628143,-3503819.085480
92569571758.688950,116225936677.251602,-3503819.088116
92569524453.920700,116225973899.856216,-3503819.090751
92569477149.137222,116226011122.441986,-3503819.093386
92569429844.338516,116226048345.008926,-3503819.096019
92569382539.524567,116226085567.557022,-3503819.098652
92569335234.695389,116226122790.086273,-3503819.101284
92569287929.850967,116226160012.596695,-3503819.103915
92569240624.991318,116226197235.088272,-3503819.106545
92569193320.116440,116226234457.561005,-3503819.109174
92569146015.226318,116226271680.014908,-3503819.111803
92569098710.320969,116226308902.449966,-3503819.114430
92569051405.400375,116226346124.866180,-3503819.117057
92569004100.464554,116226383347.263565,-3503819.119682
92568956795.513504,116226420569.642105,-3503819.122307
92568909490.547211,116226457792.001801,-3503819.124931
92568862185.565689,116226495014.342667,-3503819.127554
92568814880.568924,116226532236.664688,-3503819.130177
92568767575.556931,116226569458.967865,-3503819.132798
92568720270.529709,116226606681.252213,-3503819.135419
92568672965.487244,116226643903.517715,-3503819.138038
